time,Adresse,I1,U_DC,P_DC,T1,T2,I_SUM,weather_GHI,weather_DNI,weather_DHI,weather_Air_Temp,weather_RH,weather_Pressure,weather_Wind_speed,weather_wind_dir,weather_wind_gust,weather_Rain,weather_dayofyear,weather_Dangle,weather_Alpha,weather_GTI
2024-09-01 01:40,122,0,0.86,0,19.045,0,0,0,0,0,20.017,89.81,959.774,4.248,16.002,4.814,0,245,7.342,65.342,0
2024-09-01 01:50,122,0,0.86,0,19.018,0,0,0,0,0,20.01,89.88,959.605,3.843,11.986,4.514,0,245,7.342,65.342,0
2024-09-01 02:00,122,0,0.86,0,19.023,0,0,0,0,0,19.987,90.01,959.39,4.132,6.066,4.769,0,245,7.342,65.342,0
2024-09-01 02:10,122,0,0.899,0,19.059,0,0,0,0,0,19.976,90.13,959.284,3.713,144.419,4.339,0,245,7.342,65.342,0
2024-09-01 02:20,122,0,0.864,0,19.141,0,0,0,0,0,19.971,90.14,959.154,4.214,71.998,4.864,0,245,7.342,65.342,0
2024-09-01 02:30,122,0,0.922,0,19.126,0,0,0,0,0,19.983,90.29,959.137,3.992,215.206,4.794,0,245,7.342,65.342,0
2024-09-01 02:40,122,0,1.015,0,19.099,0,0,0,0,0,19.986,90.3,958.974,3.835,76.386,4.634,0,245,7.342,65.342,0
2024-09-01 02:50,122,0,1.15,0,19.095,0,0,0,0,0,19.962,90.3,958.983,4.314,282.797,5.039,0,245,7.342,65.342,0
2024-09-01 03:00,122,0,0.949,0,19.04,0,0,0,0,0,19.921,90.3,958.955,4.159,215.723,4.949,0,245,7.342,65.342,0
2024-09-01 03:10,122,0,1.176,0,18.988,0,0,0,0,0,19.928,90.36,958.961,3.789,349.54,4.479,0,245,7.342,65.342,0
2024-09-01 03:20,122,0,1.323,0,19.282,0,0,0,0,0,19.971,90.38,958.932,4.153,319.103,4.669,0,245,7.342,65.342,0
2024-09-01 03:30,122,0,1.44,0,19.436,0,0,0,0,0,19.986,90.3,959.041,3.584,213.678,4.159,0,245,7.342,65.342,0
2024-09-01 03:40,122,0,1.483,0,19.716,0,0,0,0,0,20.05,90.02,959.029,3.955,280.911,4.584,0,245,7.342,65.342,0
2024-09-01 03:50,122,0,1.391,0,19.639,0,0,0,0,0,20.047,89.71,959.101,4.002,248.917,4.579,0,245,7.342,65.342,0
2024-09-01 04:00,122,0,1.44,0,19.814,0,0,0,0,0,20.068,89.41,958.904,3.939,8.041,4.584,0,245,7.342,65.342,0
2024-09-01 04:10,122,0,1.186,0,19.736,0,0,0,0,0,20.073,89.12,958.832,3.702,145.65,4.399,0,245,7.342,65.342,0
